Score: -208.31473, Count: 1
Score: -208.31783, Count: 1
Score: -208.35812, Count: 1
Score: -208.36299, Count: 1
Score: -208.36398, Count: 1
Score: -208.38158, Count: 1
Score: -208.39891, Count: 1
Score: -208.43416, Count: 1
Score: -208.4479, Count: 1
Score: -208.46167, Count: 1
Score: -208.48584, Count: 1
Score: -208.62852, Count: 1
Score: -208.69853, Count: 1
Score: -208.95221, Count: 1
Score: -208.99864, Count: 1
Score: -209.00604, Count: 1
Score: -209.01564, Count: 1
Score: -209.07816, Count: 1
Score: -209.11528, Count: 1
Score: -209.13632, Count: 1
Score: -209.24533, Count: 1
Score: -209.41782, Count: 1
Score: -209.41978, Count: 1
Score: -209.51343, Count: 1
Score: -209.52187, Count: 1
Score: -209.56606, Count: 1
Score: -209.5688, Count: 1
Score: -209.60777, Count: 1
Score: -209.6826, Count: 1
Score: -209.7053, Count: 1
Score: -209.72298, Count: 1
Score: -209.74393, Count: 1
Score: -209.83023, Count: 1
Score: -209.89227, Count: 1
Score: -209.9287, Count: 1
Score: -209.94614, Count: 1
Score: -209.97202, Count: 1
Score: -209.9826, Count: 1
Score: -210.00102, Count: 1
Score: -210.0255, Count: 1
Score: -210.09743, Count: 1
Score: -210.1462, Count: 1
Score: -210.1897, Count: 1
Score: -210.28505, Count: 1
Score: -210.2857, Count: 1
Score: -210.39307, Count: 1
Score: -210.4277, Count: 1
Score: -210.5346, Count: 1
Score: -210.56183, Count: 1
Score: -210.60175, Count: 1
Score: -210.60278, Count: 1
Score: -210.60428, Count: 1
Score: -210.61736, Count: 1
Score: -210.63496, Count: 1
Score: -210.67775, Count: 1
Score: -210.75754, Count: 1
Score: -210.758, Count: 1
Score: -210.7623, Count: 1
Score: -210.80843, Count: 1
Score: -210.80878, Count: 1
Score: -210.95813, Count: 1
Score: -211.03293, Count: 1
Score: -211.07274, Count: 1
Score: -211.08453, Count: 1
Score: -211.12318, Count: 1
Score: -211.15741, Count: 1
Score: -211.16176, Count: 1
Score: -211.20619, Count: 1
Score: -211.20961, Count: 1
Score: -211.26028, Count: 1
Score: -211.30905, Count: 1
Score: -211.31763, Count: 1
Score: -211.35136, Count: 1
Score: -211.40088, Count: 1
Score: -211.44093, Count: 1
Score: -211.47916, Count: 1
Score: -211.48286, Count: 1
Score: -211.48326, Count: 1
Score: -211.49782, Count: 1
Score: -211.50685, Count: 1
Score: -211.52356, Count: 1
Score: -211.52682, Count: 1
Score: -211.53291, Count: 1
Score: -211.6007, Count: 1
Score: -211.63573, Count: 1
Score: -211.68442, Count: 1
Score: -211.72125, Count: 1
Score: -211.78116, Count: 1
Score: -211.84218, Count: 1
Score: -211.88351, Count: 1
Score: -211.94899, Count: 1
Score: -211.97281, Count: 1
Score: -211.9769, Count: 1
Score: -211.9858, Count: 1
Score: -211.99467, Count: 1
Score: -211.99715, Count: 1
Score: -212.02425, Count: 1
Score: -212.03299, Count: 1
Score: -212.04787, Count: 1
Score: -212.0572, Count: 1
Score: -212.10936, Count: 1
Score: -212.18188, Count: 1
Score: -212.22318, Count: 1
Score: -212.26756, Count: 1
Score: -212.27237, Count: 1
Score: -212.27766, Count: 1
Score: -212.39224, Count: 1
Score: -212.40251, Count: 1
Score: -212.43196, Count: 1
Score: -212.45854, Count: 1
Score: -212.50598, Count: 1
Score: -212.55542, Count: 1
Score: -212.5971, Count: 1
Score: -212.61757, Count: 1
Score: -212.6437, Count: 1
Score: -212.68303, Count: 1
Score: -212.72704, Count: 1
Score: -212.72894, Count: 1
Score: -212.76509, Count: 1
Score: -212.78534, Count: 1
Score: -212.79951, Count: 1
Score: -212.8212, Count: 1
Score: -213.02953, Count: 1
Score: -213.0359, Count: 1
Score: -213.05038, Count: 1
Score: -213.0655, Count: 1
Score: -213.06725, Count: 1
Score: -213.11693, Count: 1
Score: -213.1526, Count: 1
Score: -213.15617, Count: 1
Score: -213.24675, Count: 1
Score: -213.25006, Count: 1
Score: -213.30922, Count: 1
Score: -213.32025, Count: 1
Score: -213.32573, Count: 1
Score: -213.34453, Count: 1
Score: -213.34854, Count: 1
Score: -213.37025, Count: 1
Score: -213.37929, Count: 1
Score: -213.39355, Count: 1
Score: -213.53955, Count: 1
Score: -213.54245, Count: 1
Score: -213.6199, Count: 1
Score: -213.7607, Count: 1
Score: -213.91101, Count: 1
Score: -213.94632, Count: 1
Score: -213.97014, Count: 1
Score: -213.97746, Count: 1
Score: -214.00987, Count: 1
Score: -214.05397, Count: 1
Score: -214.06306, Count: 1
Score: -214.09012, Count: 1
Score: -214.09502, Count: 1
Score: -214.10886, Count: 1
Score: -214.1318, Count: 1
Score: -214.17384, Count: 1
Score: -214.2192, Count: 1
Score: -214.2438, Count: 1
Score: -214.25339, Count: 1
Score: -214.30211, Count: 1
Score: -214.53877, Count: 1
Score: -214.56593, Count: 1
Score: -214.58134, Count: 1
Score: -214.6333, Count: 1
Score: -214.63385, Count: 1
Score: -214.67226, Count: 1
Score: -214.71866, Count: 1
Score: -214.97588, Count: 1
Score: -215.03496, Count: 1
Score: -215.05913, Count: 1
Score: -215.07074, Count: 1
Score: -215.09369, Count: 1
Score: -215.1057, Count: 1
Score: -215.10777, Count: 1
Score: -215.11269, Count: 1
Score: -215.11374, Count: 1
Score: -215.1854, Count: 1
Score: -215.3367, Count: 1
Score: -215.3422, Count: 1
Score: -215.35619, Count: 1
Score: -215.39273, Count: 1
Score: -215.39368, Count: 1
Score: -215.39702, Count: 1
Score: -215.41513, Count: 1
Score: -215.43713, Count: 1
Score: -215.44267, Count: 1
Score: -215.44905, Count: 1
Score: -215.46194, Count: 1
Score: -215.56577, Count: 1
Score: -215.59697, Count: 1
Score: -215.59947, Count: 1
Score: -215.64142, Count: 1
Score: -215.78021, Count: 1
Score: -215.9273, Count: 1
Score: -215.93903, Count: 1
Score: -215.95078, Count: 1
Score: -215.98683, Count: 1
Score: -216.06631, Count: 1
Score: -216.1804, Count: 1
Score: -216.21236, Count: 1
Score: -216.2567, Count: 1
Score: -216.29439, Count: 1
Score: -216.32115, Count: 1
Score: -216.3367, Count: 1
Score: -216.35179, Count: 1
Score: -216.39255, Count: 1
Score: -216.46124, Count: 1
Score: -216.49936, Count: 1
Score: -216.5013, Count: 1
Score: -216.5148, Count: 1
Score: -216.5928, Count: 1
Score: -216.6336, Count: 1
Score: -216.8013, Count: 1
Score: -216.81982, Count: 1
Score: -216.83406, Count: 1
Score: -216.8569, Count: 1
Score: -216.8669, Count: 1
Score: -216.88287, Count: 1
Score: -216.89555, Count: 1
Score: -216.94435, Count: 1
Score: -217.05675, Count: 1
Score: -217.12604, Count: 1
Score: -217.13208, Count: 1
Score: -217.13754, Count: 1
Score: -217.16234, Count: 1
Score: -217.17596, Count: 1
Score: -217.17924, Count: 1
Score: -217.23135, Count: 1
