-23/5,0,-2,0,0,-1,4,-4,-2,-7,6,-1,-7,6,-1,-2,-10,0,10,-2,9,-4,12,9,18,8
-34/9,-1,0,1,-5,2,0,-8,-2,-3,6,1,-7,-3,-6,-6,6,-4,-5,4,10,-14,-5,-5,-1,-6
-68/19,0,2,2,1,0,-6,-8,-2,-8,4,4,-8,-6,-4,0,-6,-4,8,2,-9,-2,11,2,-15,8
-32/9,0,0,0,-5,4,-5,-3,-2,-4,3,-2,-2,-6,-4,-2,2,5,-2,4,8,-8,-10,0,-6,11
-3/5,0,0,0,-5,2,0,-3,-2,0,4,10,6,-3,12,6,6,8,-11,14,12,11,6,-3,9,-14
-13/2,0,2,4,-5,6,-7,-6,-2,-3,-5,-5,-8,-6,9,0,2,8,13,-13,6,7,13,-1,-12,11
22/23,1,-2,2,-5,0,2,5,1,0,-4,-5,-7,-6,1,-7,-10,-12,-12,12,9,-14,8,12,1,-2
35/23,0,2,0,1,-1,2,2,1,0,0,0,-5,-6,4,-8,6,7,-11,11,5,-13,-15,12,-8,-10
32/23,0,2,2,1,6,4,5,1,0,3,-9,-2,12,8,-10,-10,6,5,3,16,0,-7,2,-10,1
-29/68,0,-2,-2,-5,-1,6,-2,1,2,-10,-8,10,-6,-1,0,-2,8,-8,4,-4,4,-4,5,10,8
-16/21,0,0,1,-5,4,4,-3,-2,6,-7,-1,8,8,-9,0,-2,-4,1,-8,0,14,-16,12,-6,-9
-37/45,0,0,0,-5,4,-1,-4,-2,4,3,-10,-11,-6,10,-8,-6,9,1,5,15,7,-7,-4,8,13
-29/19,0,2,2,-5,2,-6,5,-2,-3,-10,-5,-5,-2,10,-6,6,-14,1,-12,0,-4,-6,-4,5,-5
2/31,-1,-2,2,3,6,1,2,1,2,4,2,-8,6,8,0,-10,-2,-13,4,-15,-16,-8,-9,0,2
9/94,0,0,0,3,4,1,4,-2,-6,6,-5,-1,-1,7,3,-2,0,6,12,3,-5,-16,3,-4,9
13/93,0,0,0,3,4,-7,-3,-2,-3,6,2,2,-1,12,1,0,6,1,-10,-12,-13,-16,-4,-12,12
-23/2,0,-2,2,1,4,-5,2,-2,-7,5,-10,10,8,-4,-8,-3,0,-10,-11,-12,-11,13,12,-6,10
-44/5,0,-2,0,0,0,6,5,-2,-3,-8,4,-1,-3,-6,4,-4,5,6,0,-7,4,11,4,6,-6
-25/3,0,0,0,0,6,-1,2,-2,3,4,-6,-8,-3,-4,0,-2,-9,5,-7,-15,-5,0,8,10,-5
69/17,0,0,3,1,2,2,-2,-2,-7,4,0,-6,-2,10,10,6,-9,-8,10,11,-6,0,6,2,17
-17/15,0,0,0,-5,-3,4,-8,1,-3,-3,3,2,-6,-3,4,5,-5,8,3,-9,-10,-4,2,-1,17
-12/13,0,0,2,-5,4,-2,2,1,-3,-5,3,-5,-6,4,0,1,9,-1,-12,-8,8,13,3,0,-18
-13/15,0,0,0,0,4,-7,5,1,-6,5,-9,-7,12,4,-6,-6,0,-7,-14,-3,-6,15,12,10,-2
89/55,0,-2,0,1,-2,-5,4,-2,-3,0,-5,10,12,7,0,6,6,-11,-10,-12,2,13,-6,-13,-3
86/55,1,-2,0,-5,-2,6,-3,-2,3,10,2,10,-6,-1,-8,6,1,1,11,-15,-5,-16,0,-1,-6
31/19,0,2,1,1,0,1,1,-2,-8,2,-10,-7,-3,-2,8,6,-12,1,5,-15,-2,-8,4,10,-3
-31/25,0,-2,0,0,0,-5,5,-2,-9,6,-10,10,6,7,-8,1,-1,-4,-3,14,-5,4,4,-10,13
-62/51,-1,0,0,-5,6,2,-2,1,2,9,-10,-7,-7,10,-6,-2,0,0,-10,6,-7,-14,0,10,-18
-29/24,0,0,1,1,-1,-5,-3,-2,-8,-10,-9,-7,12,4,0,-3,6,-10,4,5,11,8,2,0,10
-61/48,0,0,3,-5,-3,6,-4,-2,0,0,3,10,3,2,-2,-2,10,-13,2,-2,-2,-9,16,-17,-2
15/19,0,0,0,3,2,-1,3,-2,6,9,-1,-6,-1,4,0,-6,0,-13,-10,10,-14,15,2,2,10
-49/13,0,-2,0,1,-2,-2,-3,1,-8,2,2,-5,-6,-1,0,-4,2,-2,-11,6,-13,-8,15,10,-3
-26/5,-1,-2,0,1,0,-7,2,-2,0,-10,2,-2,3,-12,0,6,-12,8,-14,13,4,-14,-4,-6,1
-9,0,-3,0,-5,-1,-5,-3,-2,4,7,-1,-6,8,5,-6,-2,-5,-7,-8,0,2,-8,0,1,13
-24/7,0,0,3,-5,2,-5,3,1,-3,0,2,5,6,9,4,6,4,10,-10,-4,-6,-14,-13,-2,1
21/23,0,0,0,1,6,-6,6,-2,0,4,-5,-2,-2,-7,12,7,-12,-1,8,12,-10,-8,-15,10,2
92/93,0,0,1,-5,-2,6,2,-2,-7,-2,2,7,0,8,4,11,10,2,11,14,-5,-16,0,-14,-9
23/16,0,-2,2,0,0,6,5,1,-7,-2,0,10,-5,12,3,6,-12,8,-7,-12,11,15,-12,-3,-18
92/61,0,-2,-2,3,0,1,3,1,-7,0,2,-5,12,1,4,-6,-10,-4,2,3,-6,-9,3,-4,10
89/64,0,-2,2,-5,4,0,3,-2,-9,10,-4,-2,-1,4,-6,-4,4,-4,8,9,-2,0,4,-13,0
49/32,0,-2,3,1,2,-6,4,-2,6,-8,10,-2,-1,-10,-7,-11,-2,1,-8,-4,-2,-1,10,-1,2
89/65,0,2,0,1,6,-2,-1,1,6,0,-5,5,-7,-4,-6,1,4,8,4,-12,-6,9,-8,-13,8
-16/33,0,0,-3,0,-2,6,3,-2,-8,-2,1,-8,-7,-10,0,-9,-10,6,-12,-12,2,-4,16,-10,8
-24,0,0,2,-5,0,0,-1,-2,-4,-4,2,10,-6,-10,0,6,10,1,-12,-9,0,10,0,1,8
7/26,0,-2,3,1,6,-2,2,0,6,-5,3,5,-6,6,-11,-2,6,5,10,4,4,-14,8,6,-2
10/41,1,-2,0,-5,-3,-5,3,1,-8,-2,2,-2,6,4,8,6,4,8,-2,-9,-4,13,-7,10,-1
11/40,0,-2,0,-5,0,4,3,1,6,4,0,-5,-4,-4,13,-2,-10,10,-8,-12,4,-7,6,0,-14
6/37,-1,0,0,3,4,2,-6,-2,3,-5,2,-8,-3,10,6,1,0,-2,0,12,12,-4,16,-8,-19
-5/3,0,0,0,3,-1,6,-3,-2,2,-5,10,5,-6,2,8,6,0,-7,-12,3,-6,-6,3,10,2
-61/39,0,0,2,-5,6,-2,5,1,1,7,-10,-7,10,-1,6,1,4,-13,-6,4,14,4,4,3,18
-11/5,0,-2,0,1,0,1,-3,-2,3,0,-10,-7,1,9,-4,3,6,-2,4,10,2,-10,3,-14,-18
-67/37,0,-2,2,-5,0,2,-5,-2,6,-5,-7,-8,0,-1,4,-12,-1,-1,-5,11,12,10,0,3,-13
-31/19,0,-2,2,-5,-2,2,-1,-2,6,-4,-10,-8,-9,8,-2,6,-7,13,5,-9,14,-16,-16,9,-19
-5/7,0,2,0,-5,-3,1,-4,1,-9,7,8,-1,-1,6,12,-9,13,13,16,11,-6,9,2,10,-18
-17/3,0,0,0,1,0,1,-8,-2,6,-2,0,-5,6,1,4,0,-14,4,-4,-3,-2,1,4,-10,9
-22/9,1,0,2,3,0,6,1,1,6,-2,2,2,-3,12,-6,-2,-5,-7,-4,-3,7,15,-3,0,8
5/13,0,-2,0,1,0,-2,2,1,3,4,-4,2,0,8,-1,-11,-14,-7,4,5,11,-8,-16,-15,2
11/46,0,-2,0,0,0,-1,-3,1,0,4,-5,-6,0,-6,0,-10,7,-3,8,-9,-9,4,-9,-12,-6
13/28,0,2,4,-5,-3,-7,6,1,-8,4,6,-2,12,4,-3,-2,-9,8,-11,4,4,6,4,-13,9
-10/11,1,2,0,0,-2,-5,-3,1,-4,6,4,2,-6,10,-3,6,-12,-10,6,10,6,8,-9,1,1
-20/23,0,-2,0,-5,-1,4,-3,-2,0,9,10,-8,-2,-6,10,3,0,-5,4,14,2,5,-4,3,-6
-11/8,0,-2,-2,3,0,2,2,0,-3,-3,10,-1,-6,-1,0,-2,4,-7,2,2,10,-16,15,-14,6
-13/12,0,0,2,3,0,-7,-5,-2,-4,4,8,10,6,0,-8,4,0,-13,4,-12,-9,-4,1,-6,-6
11/51,0,0,0,1,0,0,-2,-2,-6,6,1,2,-6,-3,-6,4,4,-1,4,4,-7,8,2,6,-12
14/51,1,0,2,1,-1,6,-2,1,1,-1,1,8,7,5,-6,1,-4,-5,-12,-12,11,12,-9,6,-2
